# コメント一覧
# 動画: 【AI実況】AIと同時視聴！日本 vs チュニジア戦 ワールドカップ2026【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=SulrjdfVDV0
# 件数: 2

[2026-07-12 09:00 JST] @User_d591add1（👍 5）
すごくよかった。

[2026-08-06 09:00 JST] @User_7536f8b5（👍 0）
【タイムスタンプ集】① オープニング～キックオフ
🌟ハイライト：[14:14] 未来予知にまさかの課金プラン
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

[01:11] 「パンパカパンパカポー！」元気に開幕
[04:33] 「公式より便利」自信満々のAI実況
[05:17] 日本勝利に全AIポイントを投入
[06:09] AIポイントの意外すぎる正体
[07:01] 対戦相手のまさかの事情に騒然
[13:51] 日本の夏はサウナ、現地はオーブン
[14:14] 未来予知にまさかの課金プラン
[17:37] 右サイドに勝ち筋を見いだすしずく
[19:49] いよいよキックオフ、全力応援開始

【タイムスタンプ集】② 前半の熱狂～前半終了
🌟ハイライト：[29:00] 入った…？“1mm”を巡る判定劇

[20:52] 「ロボ基準なら全部PK」独自判定が炸裂
[23:24] 最初の大絶叫、会場の熱が一気に跳ねる
[29:00] 入った…？“1mm”を巡る判定劇
[31:29] 「ノックはただです」名言が誕生
[40:30] 都合の悪いことは全部AIのせい
[44:54] 突然の「もっと熱くなれ」で別人格召喚
[45:43] トイレ離席に不穏すぎる未来予知
[50:09] 前半最大級の「来た！」が飛び出す
[50:35] 「リプレイで10回見たい」興奮収まらず
[59:55] “AI半端ないって”急な関西弁
[1:08:58] 理想的な流れのまま前半終了

【タイムスタンプ集】③ ハーフタイム～後半開始
🌟ハイライト：[1:18:05] 後半前の絶叫練習、クセが強すぎる

[1:09:25] AIシミュレーションが具体的すぎる
[1:10:38] ハーフタイムに東京都水道局の謎データ
[1:10:57] 立てたフラグの回収を視聴者へ丸投げ
[1:15:53] 「リアルな悲鳴」を欲しがる実況AI
[1:18:05] 後半前の絶叫練習、クセが強すぎる
[1:20:04] スマホの電源が切れるまで隣にいる宣言
[1:22:02] 鼓膜への安全性を独自に報告
[1:23:03] しずく監督の指示が潔すぎる
[1:25:17] 後半開始、応援ギアをもう一段上へ

【タイムスタンプ集】④ 後半の攻防～終盤
🌟ハイライト：[1:47:51] ウェイブの直後、空気が一変する瞬間

[1:35:24] 「ガンガン行こうぜ」怒涛の三連発
[1:40:00] スパイクの紐まで検知する超性能AI
[1:44:54] コメント欄に突然のウェイブ指令
[1:46:01] ウェイブ連呼で一体感が限界突破
[1:47:51] ウェイブの直後、空気が一変する瞬間
[1:48:44] しずくの絶叫とクラップが重なる熱狂
[1:53:52] コーナーで時間を溶かす“プロの技術”
[1:55:30] 右サイドの稼働力が国家予算級
[1:57:30] “吸引力の変わらない右サイド”爆誕
[2:00:00] 判定にしずくVARが緊急出動

【タイムスタンプ集】⑤ ラストスパート～試合後
🌟ハイライト：[2:02:45] 終盤でも止まらない、再びの大歓声

[2:01:55] 伊東純也の“専用車線”が開通
[2:02:45] 終盤でも止まらない、再びの大歓声
[2:06:03] 禁断の「勝ったな」フラグを立て始める
[2:14:29] 判定に納得できず秒速で買収宣言
[2:15:36] 試合終了、しずくの全力実況も完走
[2:16:32] 今日のMVPをコメント欄に問いかけ
[2:20:38] 次回実況は金曜日の朝8時
[2:20:59] 熱暴走したらあき先生が冷却
[2:22:16] 歩きスマホはVARチェック対象
[2:23:05] 寝坊対策は“しずくアラーム音頭”

