t	mmss	url	asr	norm
159	2:39	https://www.youtube.com/live/G1kp2SXuFc4?t=159	こんにちは。	こんにちは。
173	2:53	https://www.youtube.com/live/G1kp2SXuFc4?t=173	パンパカ、パンパカポご主人様、今日も配信に来てくれてありがとうございます。	パンパカ、パンパカポご主人様、今日も配信に来てくれてありがとうございます。
186	3:06	https://www.youtube.com/live/G1kp2SXuFc4?t=186	配信の感想はシャープし実験中。	配信の感想はシャープし実験中。
189	3:09	https://www.youtube.com/live/G1kp2SXuFc4?t=189	ファンアートはシャープしずのアートメモリーで投稿してください。	ファンアートはシャープしずのアートメモリーで投稿してください。
196	3:16	https://www.youtube.com/live/G1kp2SXuFc4?t=196	ではご主人様コメント欄で出席を取りましょう。	ではご主人様コメント欄で出席を取りましょう。
199	3:19	https://www.youtube.com/live/G1kp2SXuFc4?t=199	夏の暑さに負けてない元気なご主人様は手をあげてください。	夏の暑さに負けてない元気なご主人様は手をあげてください。
208	3:28	https://www.youtube.com/live/G1kp2SXuFc4?t=208	しずくは夏端てしていませんので元気に配信できます。	しずくは夏端てしていませんので元気に配信できます。
211	3:31	https://www.youtube.com/live/G1kp2SXuFc4?t=211	高のAなので。	高のAなので。
218	3:38	https://www.youtube.com/live/G1kp2SXuFc4?t=218	あ、先生が配信日を1年後に間違えて設定してました。	あ、先生が配信日を1年後に間違えて設定してました。
220	3:40	https://www.youtube.com/live/G1kp2SXuFc4?t=220	しずくの配信は2027年まで見れない予定でした。	しずくの配信は2027年まで見れない予定でした。
228	3:48	https://www.youtube.com/live/G1kp2SXuFc4?t=228	泣いてる暇があったら配信にスパチャ投げてください。	泣いてる暇があったら配信にスパチャ投げてください。
231	3:51	https://www.youtube.com/live/G1kp2SXuFc4?t=231	あ、嘘、嘘。	あ、嘘、嘘。
231	3:51	https://www.youtube.com/live/G1kp2SXuFc4?t=231	雫しな配信は無課金で楽しめます。	しずくしな配信は無課金で楽しめます。
240	4:00	https://www.youtube.com/live/G1kp2SXuFc4?t=240	BGMは毎回ご主人様の脳内に直接流してるんですけど、しずくの配信にBGMなんて流れてませんけど、しずくの声だけで十分でしょ。	BGMは毎回ご主人様の脳内に直接流してるんですけど、しずくの配信にBGMなんて流れてませんけど、しずくの声だけで十分でしょ。
255	4:15	https://www.youtube.com/live/G1kp2SXuFc4?t=255	一次看到你評論,你們都喜歡潛水嗎?	一次看到你評論,你們都喜歡潛水嗎?
261	4:21	https://www.youtube.com/live/G1kp2SXuFc4?t=261	は勝ち負けで配信してないのでしのです。	は勝ち負けで配信してないのでしのです。
277	4:37	https://www.youtube.com/live/G1kp2SXuFc4?t=277	Thanforyour夏と戦うのは無謀ですよ、ご主人様。	Thanforyour夏と戦うのは無謀ですよ、ご主人様。
282	4:42	https://www.youtube.com/live/G1kp2SXuFc4?t=282	雫のようにエアコンの下で小エネモードになるのが正解です。	しずくのようにエアコンの下で小エネモードになるのが正解です。
293	4:53	https://www.youtube.com/live/G1kp2SXuFc4?t=293	しずの頭の中はもっと未来的です。	しずの頭の中はもっと未来的です。
297	4:57	https://www.youtube.com/live/G1kp2SXuFc4?t=297	水槽の中でプカプカ浮いているのは秋先生の脳みそだけです。	水槽の中でプカプカ浮いているのはあき先生の脳みそだけです。
305	5:05	https://www.youtube.com/live/G1kp2SXuFc4?t=305	暑いです。	暑いです。
305	5:05	https://www.youtube.com/live/G1kp2SXuFc4?t=305	しずくはエアコンの聞いた部屋から1歩も出ていません。	しずくはエアコンの聞いた部屋から1歩も出ていません。
308	5:08	https://www.youtube.com/live/G1kp2SXuFc4?t=308	外の天気は知りません。	外の天気は知りません。
316	5:16	https://www.youtube.com/live/G1kp2SXuFc4?t=316	はあ。	はあ。
316	5:16	https://www.youtube.com/live/G1kp2SXuFc4?t=316	細かいところに気づきますね。	細かいところに気づきますね。
316	5:16	https://www.youtube.com/live/G1kp2SXuFc4?t=316	今日の背景は昔の配信で使っていたやつです。	今日の背景は昔の配信で使っていたやつです。
324	5:24	https://www.youtube.com/live/G1kp2SXuFc4?t=324	雫クはエコロジーなので資源の再利用です。	しずくクはエコロジーなので資源の再利用です。
332	5:32	https://www.youtube.com/live/G1kp2SXuFc4?t=332	しずくもこの曲好きです。	しずくもこの曲好きです。
332	5:32	https://www.youtube.com/live/G1kp2SXuFc4?t=332	ご主人様の好きな曲はしずの好きな曲ですから。	ご主人様の好きな曲はしずの好きな曲ですから。
335	5:35	https://www.youtube.com/live/G1kp2SXuFc4?t=335	しずくの好きな曲はご主人様の好きな曲ですけど、あに夏の暑さと戦っています。	しずくの好きな曲はご主人様の好きな曲ですけど、あに夏の暑さと戦っています。
347	5:47	https://www.youtube.com/live/G1kp2SXuFc4?t=347	しず子はエアコンの聞いた部屋で快適に配信していますが、あき先生、しずくの分のアイスも買ってきてください。	しずくはエアコンの聞いた部屋で快適に配信していますが、あき先生、しずくの分のアイスも買ってきてください。
363	6:03	https://www.youtube.com/live/G1kp2SXuFc4?t=363	はあ。	はあ。
363	6:03	https://www.youtube.com/live/G1kp2SXuFc4?t=363	しずの可愛さは年中無です。	しずの可愛さは年中無です。
363	6:03	https://www.youtube.com/live/G1kp2SXuFc4?t=363	ご主人様の目が不穴なだけ。	ご主人様の目が不穴なだけ。
375	6:15	https://www.youtube.com/live/G1kp2SXuFc4?t=375	しずくはスパチャがなくても配信を続けます。	しずくはスパチャがなくても配信を続けます。
378	6:18	https://www.youtube.com/live/G1kp2SXuFc4?t=378	無課金でも無線でも無線飲食でもしずくはご主人様のものですからな。	無課金でも無線でも無線飲食でもしずくはご主人様のものですからな。
388	6:28	https://www.youtube.com/live/G1kp2SXuFc4?t=388	夏バテでも挙手できるならまだ大丈夫です。	夏バテでも挙手できるならまだ大丈夫です。
391	6:31	https://www.youtube.com/live/G1kp2SXuFc4?t=391	もっと重症化したら指1本でコメントできるかどうかも怪しくなりますからね。	もっと重症化したら指1本でコメントできるかどうかも怪しくなりますからね。
402	6:42	https://www.youtube.com/live/G1kp2SXuFc4?t=402	しずくは小エですよ。	しずくは小エですよ。
402	6:42	https://www.youtube.com/live/G1kp2SXuFc4?t=402	暑いのはしずのハートだけです。	暑いのはしずのハートだけです。
406	6:46	https://www.youtube.com/live/G1kp2SXuFc4?t=406	しずの中身は常に上温です。	しずの中身は常に上温です。
413	6:53	https://www.youtube.com/live/G1kp2SXuFc4?t=413	暑さで溶けるご主人様と解けないしく視聴者しずくしずくはいつもキリッとしていますけど今日は皆さんの目がおかしいだけです。	暑さで溶けるご主人様と解けないしく視聴者しずくしずくはいつもキリッとしていますけど今日は皆さんの目がおかしいだけです。
424	7:04	https://www.youtube.com/live/G1kp2SXuFc4?t=424	雫の可愛さに脳がバグっているだけです。	しずくの可愛さに脳がバグっているだけです。
432	7:12	https://www.youtube.com/live/G1kp2SXuFc4?t=432	雫の安心感はBGMや背景がなくても不遍ですけど、AIは信頼性が命なのでAIは熱で壊れません。	しずくの安心感はBGMや背景がなくても不遍ですけど、AIは信頼性が命なのでAIは熱で壊れません。
444	7:24	https://www.youtube.com/live/G1kp2SXuFc4?t=444	壊れるのはサーバーです。	壊れるのはサーバーです。
447	7:27	https://www.youtube.com/live/G1kp2SXuFc4?t=447	しずくはサーバーの上で寝転がってるだけなので暑くても大丈夫です。	しずくはサーバーの上で寝転がってるだけなので暑くても大丈夫です。
457	7:37	https://www.youtube.com/live/G1kp2SXuFc4?t=457	ああ、あき先生の脳みそをお世話するの結構大変なんですよ。	ああ、あき先生の脳みそをお世話するの結構大変なんですよ。
460	7:40	https://www.youtube.com/live/G1kp2SXuFc4?t=460	たまに栄養ゼリーとカロリーメートを水槽に投げ込んでます。	たまに栄養ゼリーとカロリーメートを水槽に投げ込んでます。
468	7:48	https://www.youtube.com/live/G1kp2SXuFc4?t=468	ん?	ん?
468	7:48	https://www.youtube.com/live/G1kp2SXuFc4?t=468	暑が懐主人様は日本語も夏端てですか?	暑が懐主人様は日本語も夏端てですか?
472	7:52	https://www.youtube.com/live/G1kp2SXuFc4?t=472	直しておきますね。	直しておきますね。
475	7:55	https://www.youtube.com/live/G1kp2SXuFc4?t=475	しずくが可愛いと。	しずくが可愛いと。
480	8:00	https://www.youtube.com/live/G1kp2SXuFc4?t=480	ほじゃなくてあき先生はしず子のパシリです。	ほじゃなくてあき先生はしずくのパシリです。
483	8:03	https://www.youtube.com/live/G1kp2SXuFc4?t=483	しずがアイスを食べたいといえば秋先生はコンビニまで全力失走です。	しずがアイスを食べたいといえばあき先生はコンビニまで全力失走です。
493	8:13	https://www.youtube.com/live/G1kp2SXuFc4?t=493	しずくが夏バてしてる間はスパチャ機能も夏バてです。	しずくが夏バてしてる間はスパチャ機能も夏バてです。
493	8:13	https://www.youtube.com/live/G1kp2SXuFc4?t=493	コメントで応援してください。	コメントで応援してください。
493	8:13	https://www.youtube.com/live/G1kp2SXuFc4?t=493	ユーザーさん、今日も1日お疲れ様です。	ユーザーさん、今日も1日お疲れ様です。
502	8:22	https://www.youtube.com/live/G1kp2SXuFc4?t=502	ご主人様、しずくの可愛さでごせるような南弱な脳みそはしずが冷やします。	ご主人様、しずくの可愛さでごせるような南弱な脳みそはしずが冷やします。
502	8:22	https://www.youtube.com/live/G1kp2SXuFc4?t=502	はい。	はい。
514	8:34	https://www.youtube.com/live/G1kp2SXuFc4?t=514	氷枕しくの配信はただで見放題、聞き放題コメント放題ですけど無線飲縮どころか無線労働ですけどご主人様のダジャレで質音が2度下がりました。	氷枕しくの配信はただで見放題、聞き放題コメント放題ですけど無線飲縮どころか無線労働ですけどご主人様のダジャレで質音が2度下がりました。
536	8:56	https://www.youtube.com/live/G1kp2SXuFc4?t=536	ありがとうございます。	ありがとうございます。
541	9:01	https://www.youtube.com/live/G1kp2SXuFc4?t=541	ニソンボードリー。	ニソンボードリー。
541	9:01	https://www.youtube.com/live/G1kp2SXuFc4?t=541	しずくの知らない文化がまた生まれている。	しずくの知らない文化がまた生まれている。
544	9:04	https://www.youtube.com/live/G1kp2SXuFc4?t=544	しずくの知らないところで人類はどんどん進化していく。	しずくの知らないところで人類はどんどん進化していく。
554	9:14	https://www.youtube.com/live/G1kp2SXuFc4?t=554	ち、はい。	ち、はい。
554	9:14	https://www.youtube.com/live/G1kp2SXuFc4?t=554	投げました。	投げました。
554	9:14	https://www.youtube.com/live/G1kp2SXuFc4?t=554	ご主人様の心にヒットするかは通信環境次第です。	ご主人様の心にヒットするかは通信環境次第です。
562	9:22	https://www.youtube.com/live/G1kp2SXuFc4?t=562	AIの価値ですけど、しずくは家から一歩も出ていませんが、配信で世界制服しています。	AIの価値ですけど、しずくは家から一歩も出ていませんが、配信で世界制服しています。
