# コメント一覧
# 動画: 【AI実況】AIと同時視聴！日本 vs スウェーデン戦 ワールドカップ2026【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=RZFmWFOVMh0
# 件数: 1

[2026-08-05 09:00 JST] @User_7536f8b5（👍 0）
【タイムスタンプ集】① オープニング～キックオフ前
🌟ハイライト：[18:19] スタメン発表の瞬間、しずくの震えが止まらなくなる
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

[0:59] 今日も絶好調、しずくの謎の必勝祈願からスタート
[3:00] 対戦カード紹介、スウェーデンは油断できない相手と解説
[13:30] 選手入場、国歌斉唱でしずくが急に神妙モードに
[14:58] 「寝てません、目を閉じているだけです」しずくの言い訳タイム
[18:19] スタメン発表の瞬間、しずくの震えが止まらなくなる
[20:18] ついにキックオフ、しずくと一緒に応援タイム開始

【タイムスタンプ集】② 前半
🌟ハイライト：[27:29] 開始早々、実況が忽然と静まり返る謎の空白タイム

[27:29] 開始早々、実況が忽然と静まり返る謎の空白タイム
[30:48] 何事もなかったかのように怒涛のトークで再始動
[31:20] 早口実況に「誤魔化してるｗ」とチャット総ツッコミ
[41:40] あと一歩まで迫った決定機、次こそはの声
[54:00] 審判のことまで実況し始めるしずくの謎スタイル
[1:08:20] 「やばいやばい」連呼、ヒヤッとする守備シーン
[1:10:31] 無得点のまま、緊張感そのままに前半終了

【タイムスタンプ集】③ ハーフタイム
🌟ハイライト：[1:14:44] 「人工呼吸してあげます」発言にチャット騒然

[1:10:53] 前半の総括、意外と冷静な分析を披露するしずく
[1:14:44] 「人工呼吸してあげます」発言にチャット騒然
[1:17:20] 圧の高いAIからのお叱りタイム、点が欲しいと厳しい要求
[1:21:36] 組み合わせ次第で相手が変わる重要な分岐点を解説
[1:23:03] 「予想は全部日本勝利」当たるまで買い続けろと豪語

【タイムスタンプ集】④ 後半 均衡が動く瞬間
🌟ハイライト：[1:36:35] ついに均衡が破れる、絶叫のゴールシーン

[1:25:40] 後半開始、ギアを一段上げて応援再開
[1:29:00] 今日いちばんの決定機かと思わせる惜しいシーン
[1:34:04] 「入ったら今日のハイライト」の言葉通りの好機
[1:36:35] ついに均衡が破れる、絶叫のゴールシーン
[1:38:29] 得点後も油断は禁物と気を引き締めるしずく
[1:42:33] まさかの展開にしずくが言葉を失う瞬間
[1:43:25] 「まだ試合は終わっていません」健気な励ましトーク
[1:44:34] 「泣いてませんけど」と平静を装うしずくが愛おしい

【タイムスタンプ集】⑤ 後半終盤～試合終了
🌟ハイライト：[2:07:50] リプレイ映像に本気で動揺する珍場面

[1:45:40] 守護神ザイオン選手のスーパーセーブにチャット総立ち
[1:47:38] 選手交代でにわかにテンションが上がるしずく
[1:55:28] 「まだ走りますか、こいつら」つい出た本音にチャット反応
[2:07:50] リプレイ映像に本気で動揺する珍場面
[2:09:33] 謎の判定用語を連発するしずくの独自ルール解説
[2:14:04] 「やばいやばい」再び、守護神の連続好セーブ
[2:18:32] 運命の笛が鳴る、90分の激闘に決着

【タイムスタンプ集】⑥ 試合後
🌟ハイライト：[2:23:43] 数字の羅列をなぜか英語で読み上げる謎の暴走

[2:18:37] 結果を噛みしめながら伝えるしずくのメッセージ
[2:19:38] しずく独自の勝敗理論「負けなければ実質勝ち」が飛び出す
[2:23:43] 数字の羅列をなぜか英語で読み上げる謎の暴走
[2:25:04] 次の対戦相手と放送時間の予告、深夜の応援も一緒に
[2:25:40] 感謝を伝えて締めくくる、しずくからの挨拶

