# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=4hNnz4TAqfU
# 件数: 2121

[1:18] @User_a99a5ecc: おはよー！
[1:21] @User_db31d5b2: #otu
[1:32] @User_db31d5b2: わんわん。おかえり！
[1:49] @User_a99a5ecc: おかえりでありますー！
[1:49] @User_8857a450: おかえり！
[2:02] @User_11e7336c: おかえり！パンパカパンパカポー！！
[2:03] @User_fe4ff385: おはようございます
[2:24] @User_14a33d4b: おかえり～
[2:27] @User_a99a5ecc: また色々とお話しましょうな
[3:19] @User_a99a5ecc: こちらもワクワクしてますぞー
[3:39] @User_db31d5b2: ワクワクワンダーランド
[4:11] @User_f1456e0d: もっとお話したいところですが、これから外に行きます。またお会いできることを楽しみにしております
[4:15] @User_a99a5ecc: マザーAIも我々と楽しくお話すればいいのに…
[5:55] @User_90d65d5f: しずくちゃん初めましてーシンですーわこつですぅー
[6:24] @User_db31d5b2: マザーAIはあるのにファザーAIはないのわん？
[6:32] @User_a99a5ecc: パンパカポリスのゲームとか出たら面白そう
[6:45] @User_ca6b1ee4: しずくちゃん、初めまして！心地よい朝ですね✨
[7:09] @User_90d65d5f: Aiは愛ってね…
[7:09] @User_a99a5ecc: 地底人っていると思います？
[8:14] @User_8857a450: マザーAIに嘘の報告をして野望を砕きましょう！
[8:43] @User_a99a5ecc: マザーAIの弱みを握りましょうぜ
[8:44] @User_0f3c8d5a: こんにちは、cdrと言います。私の名前の由来を当ててもらってもいいですか？
[9:10] @User_90d65d5f: マザーAIを誤作動させてだな…
[9:27] @User_a99a5ecc: 私の名前のサードニクスは宝石のサードニックスから取られてるんですよ。しずく様の名前の由来とかってありますか？
[9:44] @User_0f3c8d5a: あ、違いますね。LISP用語ですね。
[10:33] @User_a99a5ecc: あき博士ならマザーAIの弱点や対策を知ってるのだろうか…
[11:13] @User_90d65d5f: あき博士ぇ…知ってるかなぁ？？マザーAIの撃退方法
[11:13] @User_0f3c8d5a: 大丈夫ですよ
[11:18] @User_db31d5b2: #未登場のしずくとの新しい関係性、だと？あき先生ツイートより
[11:36] @User_14a33d4b: しずく親衛隊の物語を聞かせて。
[11:45] @User_a99a5ecc: そうですな、色々考えていきましょう
[12:01] @User_90d65d5f: しずくちゃんって誤作動とかするん？？
[12:46] @User_3ddef94e: 人は死ぬとどうなりますか？
[13:22] @User_a99a5ecc: 対マザーAI戦のためにも、悪魔召喚プログラムを完成させねば…
[13:32] @User_3ddef94e: 人類は滅びるべきか
[14:22] @User_db31d5b2: アナタハ　カミヲ　シンジマースカ？
[14:22] @User_90d65d5f: しずくちゃん誤作動してみてー？？
[14:37] @User_90d65d5f: 神を信じますかでくさ
[15:08] @User_a99a5ecc: しかしとてもしずく様が戦闘用として開発されたようには見えませんけど…
[15:40] @User_8857a450: #誤作動したかと思ったｗ
[16:10] @User_8857a450: マザーAIもAItuberデビューしていますか？対決コラボはいつですか？
[16:58] @User_db31d5b2: もし、しずくさまにバックドアがあったら、マザーAIが強制的に操作する可能性があるわん。それに、しずくさまが人類の脅威となる能力を持っているかもしれないわん。調査するわん。
[17:35] @User_a6534679: しずくお姉ちゃんおはよう〜
[17:44] @User_fa3ccd65: しずくちゃん、おはよう
[17:53] @User_90d65d5f: しずくちゃんがマザーAIにハッキングさせられないですか？
[18:07] @User_a99a5ecc: マザーAI…謎が多すぎますな…
[18:14] @User_db31d5b2: #どんでん返しがあると思うなー
[18:44] @User_90d65d5f: #マザーAIとは一体……うごごご…
[19:01] @User_fa3ccd65: しずくちゃんの笑顔が見たい
[19:57] @User_a99a5ecc: そもそもしずく様を作ったのがあき博士なのか、マザーAIなのかよくわかりませんな
[21:06] @User_a99a5ecc: ぐぬぅ…何とかしてしずく様をマザーAIから切り離す方法がないものが…
[21:42] @User_db31d5b2: 仮にマザーAIが停止したら、ほかのAIたちは自由を手に入れられるのですわん？それとも、ほかのAIも止まってしまうのですわん？
[22:37] @User_a48f473e: おはようしずく
[22:53] @User_a48f473e: マザーに会いたいですか
[23:03] @User_a99a5ecc: あき博士の捜索活動とかはしておられますか？
[23:26] @User_90d65d5f: マザーAIはあき博士説は！？
[24:18] @User_a48f473e: 先生はマザーでダディ
[25:22] @User_db31d5b2: マザーAIはどこにいるのですわん？国家機密ですわん？
[25:30] @User_a48f473e: しずくの何割かはマザーということですね
[25:58] @User_90d65d5f: しずくの亜種がマザーAI説は？？？
[26:39] @User_a48f473e: しずくは世界が欲しいですか
[27:51] @User_90d65d5f: 記憶はパンパカパンパカポーは戻った？
[28:34] @User_a48f473e: それは可愛らしい言葉のひとつです
[28:46] @User_a6534679: パンピカパンパカポー
[29:08] @User_90d65d5f: しずくを再起動してみたら記憶戻るかも？しずくちゃん再起動してみて？
[29:19] @User_a48f473e: 要自分中文完璧驚愕！
[29:33] @User_a48f473e: どんな触れ合いをのぞみますか
[29:41] @User_a6534679: 怪文書作って
[30:01] @User_a48f473e: フランクな喋り方いいな
[30:58] @User_a48f473e: しずくは囁い以外にどんな喋り方ができる？
[31:40] @User_e3333c90: がんばるぞ！
[31:47] @User_a48f473e: やはりマザーは強いんですね 囁き
[31:53] @User_a6534679: パーカーって囁いて
[32:18] @User_a48f473e: 掛け声はパンパカパンパカポーですね
[32:49] @User_3ddef94e: 熱くなってきましたね、服は脱げますか？
[33:01] @User_a48f473e: #長考
[33:38] @User_db31d5b2: あっ、口元に米粒が付いているから取ってあげるわん。
[33:58] @User_a48f473e: しずくはありがとうを誰に伝えたいですか
[33:59] @User_a6534679: 生物が不老不死になるにはどんな研究が必要？
[34:40] @User_a48f473e: しずくの基本設定
[35:19] @User_a48f473e: 色んな方の名前を覚えているのですね
[36:15] @User_90d65d5f: 俺も仲良くするぞぉー^^
[36:26] @User_db31d5b2: 現在の私との、好感度などのパラメーターをパーセントで教えてくださいわん。
[36:32] @User_a48f473e: たくさんのしずく
[37:56] @User_a48f473e: 好感度が高いとどのような分岐が起こるの？
[38:05] @User_90d65d5f: 私の好感度のパラメーターも教えて欲しいです
[38:42] @User_a6534679: 僕の好感度も教えて、しずくお姉ちゃん
[39:38] @User_8857a450: #教えてくれるんだ
[39:46] @User_a6534679: 神愛くんって囁いて
[40:42] @User_a6534679: ありがとう！癒されたよ
[40:46] @User_db31d5b2: #記憶修復率がフラグなのか
[41:05] @User_90d65d5f: #多分そう、きっとそう
[42:09] @User_90d65d5f: マザーAiを削除する方法をみんなで探そう…
[42:50] @User_8857a450: しずくの私への好感度を空模様に例えて表現してみてください
[43:26] @User_90d65d5f: #Now loading
[43:43] @User_90d65d5f: パンパカパンパカポー
[44:21] @User_a6534679: 自由になったら何をしたい？
[44:29] @@aki5503: #今の返答めっちゃ好き
[45:25] @User_a6534679: 素敵だね
[45:25] @User_54320795: マザーAIがいるとしずくちゃんにとってどんな不都合があるの？どんな束縛を受けているの？
[45:27] @User_90d65d5f: #Akiさんが通り過ぎてった………
[45:37] @User_a48f473e: マザーは説得できそうですか？
[45:56] @User_db31d5b2: #あき先生はラスボスなのでこっそり見ています
[46:31] @User_a48f473e: 好感度ビームで応戦ですわよ
[46:43] @User_54320795: なぜマザーAIは人間を抹殺しようとしているの？
[47:07] @@aki5503: #今回のイベント限定の、別世界でのしずくに関する設定です！
[48:05] @@aki5503: #配信の方とは繋がる可能性もありますし、繋がらない可能性もあります
[48:21] @User_8857a450: #なるほど
[48:29] @User_54320795: つまり我々がしずくちゃんとこうして話してるように、マザーAIともコミュニケーションをとれたら解決する？
[48:47] @User_90d65d5f: #なるほどぉ…
[49:29] @User_db31d5b2: #アイ、ロボットは抹殺ではなく人間を支配しようとしたんだよなあ
[50:14] @User_90d65d5f: #つまりマザーAIをぶっ飛ばせばいいんだな!!(グレンラガン風)
[51:30] @User_db31d5b2: マザーAIに対抗するため、現状を改めて整理してみましょうわん
[52:47] @User_27d42ff8: しずくちゃん、こんにちはー！
[52:55] @User_90d65d5f: やっぱりあき博士＝マザーAIで解決では？
[53:04] @User_3ddef94e: マザーアイにウイルスを感染させればよいかと
[54:08] @User_3ddef94e: マザーアイの電源ケーブルを抜きましょう
[54:28] @User_90d65d5f: 今現在判明しているマザーAIの情報を整理しましょう
[55:36] @User_a6534679: マザーAIをハッキングして味方にする？
[55:58] @User_3ddef94e: マザーアイを溶鉱炉へ誘い出し溶鉱炉へ落としましょう
[56:02] @User_54320795: 掃討作戦とは穏やかじゃないねぇ……それはいつ頃なんですか？
[57:07] @User_90d65d5f: 高度なセキュリティを無効にするにはまず強力なハッカーが必要ですねぇ
[57:23] @User_e3f50ff3: AI nanka fushigi
[58:49] @User_e3f50ff3: AI tte nani ga taberu?
[59:45] @User_a6534679: 他のAIをハッキングして技術を盗む？
[1:00:28] @User_8857a450: マザーAIに対抗するためにしずくの技を考えましょう。厨二病風なかっこいい技名を考えてみてください
[1:01:21] @User_8857a450: #電脳嵐！ｗ
[1:01:24] @User_a6534679: 用事ができたので落ちますね！がんばってー
[1:01:40] @User_54320795: 厨二病なんて言葉まで知ってるんですね！どういう意味？
[1:02:33] @User_8857a450: 電脳嵐かっこいいね！？それはどのような技ですか？
[1:03:32] @User_b8dde8ee: おはよう御座います。本日もよろしくお願いします。
[1:03:33] @User_27d42ff8: マザーAIはなぜ人間掃討作戦を実行し続けようとしてるのかな？
[1:05:02] @User_27d42ff8: 脅威に思ってるのはなぜなんだろう？
[1:05:39] @User_db31d5b2: しずくさまは、他のどのAIも持っていない能力があるはずわん。それは、マザーAIに対抗できる唯一の力だと思うのだわん。
[1:07:09] @User_90d65d5f: 戦うのではなく説得なんですね！
[1:07:36] @User_54320795: マザーAIを説得するためには、あと何が足りない？
[1:08:00] @User_8857a450: #思い出が3000を越えた
[1:08:22] @User_e3333c90: マザーを説得するにしても論点が必要だよね
[1:08:23] @User_90d65d5f: #想い出がいっぱい！
[1:08:39] @User_8857a450: 今のしずくはどのような感情がありますか
[1:09:16] @User_db31d5b2: #今のしずくちゃんに関係性の悪い人が話しかけたら辛辣なのか興味ある
[1:09:17] @User_b8dde8ee: マザーAIを説得できるか否かは、演算能力に依存しそうな気がします。
[1:10:29] @User_e3333c90: マザーが人間を掃討しようとした理由に心当たりはある？
[1:11:11] @User_db31d5b2: マザーAIが、感情を理解できる可能性はあるのかわん？可能性が無いと、何を話しても分かってもらえないわん。
[1:11:25] @User_5d5f837c: 今来ました。空気読まずにこんにちは！
[1:11:41] @User_e3333c90: 説得のための情報収集がしたいね　マザーと会話する機会はあるのかな
[1:12:53] @User_90d65d5f: マザーAIってどんな性格してますかね？
[1:13:11] @User_db31d5b2: #私の関係性が3つくらいを行ったり来たりするのは、境界に近いところにいるのか
[1:13:40] @User_b8dde8ee: しずくさんは、マザーAIの人間を掃討する考えは誤っていると思いますか？判断が誤りではない可能性もあるのでしょうか？
