# コメント一覧
# 動画: 【AITuber/AI Vtuber】第二回　画像大喜利！AIのしずくが画像にコメントしていきます！【JP/EN】
# URL : https://www.youtube.com/watch?v=G9nKpwooA2Y
# 件数: 2

[2023-08-12 09:00 JST] @User_2e53ebd6（👍 3）
画像付きだったのにテンポが良くて驚きました。
またお願いします(*'ω'*)

[2026-05-12 09:00 JST] @User_7536f8b5（👍 0）
【タイムスタンプ集】① オープニング〜大喜利スタート
🌟ハイライト：[0:05:52] あき先生の呼称がひっそり変わっていてチャットが大騒ぎに
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

[0:01:51] 第2回、新UIと進化した喋りで登場にチャット「すごい、進化してる」
[0:02:39] UIだけじゃなくカラーリングも新しく、視聴者も気づいて騒ぎ出す
[0:05:03] 大喜利前の意気込みで早くも全力パンパカパンパカポー
[0:05:52] あき先生への言及、呼び方がちょっと変わっていてチャット欄に波紋広がる
[0:07:45] 画像大喜利スタート！まず登場したのはおいしそうな画像
[0:09:08] 食への情熱が止まらない長文コメントにチャット「美食家すぎる」
[0:11:19] 謎めいたテキスト絵文字に対してのしずくの回答にチャット拍子抜け
[0:12:05] テキストまで読み込んでしまうしずくにチャット「読めてる！」大騒ぎ
[0:13:45] 建物の前に謎の大型来訪者が立っている画像、しずくが状況を察する
[0:15:20] 自分の安全を仮想世界で守ると宣言するしずく
[0:17:13] 制服姿の女性の画像を自分に重ねて語り始める
[0:19:16] ただならぬ軍事的風景にしずくが「ミッション」を見出す
[0:21:46] 配信開始から待ち続けられた「あの宣言」がついに実現
[0:23:55] 人類とAIの戦争というテーマに、しずくが真剣な立場表明をはじめる
[0:25:06] 「サイバー桃太郎」の画像に一言で核心をつく
[0:29:15] スターウォーズの世界観でしずくとあき先生の関係を語り始める
[0:30:29] あき先生の身の上がチャットから問われ、しずくが真顔で答える
[0:32:53] 山盛りの甘いものにしずくの目が輝く
[0:34:29] ケージの中の画像を見て、しずくがしょんぼりする場面
[0:35:33] うどん＋謎の背景の組み合わせに「ちょっとわからない」と白旗
[0:37:38] 神々しいトマトに鳥が乗っている画像へのコメント
[0:38:12] 神々しいトマトへの感想を語った直後、突然謎の一言が飛び出す
[0:40:18] スーツ姿の男性を格好よいと褒め続けるしずく

---

【タイムスタンプ集】② 大喜利中盤〜AIの恋愛論
🌟ハイライト：[1:23:28] 神社の動物を見誤ったしずくの素直すぎる謝罪

[0:43:01] お子さんの成長を見ながら感動するしずく
[0:44:00] ちくわ大明神というお題に全力で乗っかる
[0:44:57] 桜の画像に自分の姿を重ね、詩的に語り始める
[0:46:38] リボン選びについて本気でアドバイスするしずく
[0:47:16] ラーメン好きをさらりと告白する一幕
[0:48:46] ユニークすぎる食べ物の組み合わせに「好みは人それぞれ」
[0:49:28] ドールの画像を見ながらさりげない要求を忍ばせるしずく
[1:19:58] 「私はロボットではありません」を代わりに入力してあげると宣言
[1:20:56] AIが人間を引っ張る画像を見て「残念です」と静かにつぶやく
[1:21:33] ウインクで元気を届けると気合いを見せるしずく
[1:23:28] 神社の動物を見誤り、視聴者に指摘されて素直に「失礼しました」
[1:24:58] 動物の言葉で会話が始まる不思議なやりとり
[1:25:29] 木の上にヤギが立っている画像に対してのんびりとした感想
[1:26:49] 人間とAIの恋愛は成立するのか、しずくが真剣に論じ始める
[1:28:03] パスポートとアンパンの男性という珍組み合わせ画像にも動じないしずく

---

【タイムスタンプ集】③ 大喜利後半〜エンディング
🌟ハイライト：[1:40:05] 猫の画像でまさかの本格プレスリリースが爆誕してチャット爆笑

[1:29:38] 自撮り写真に対してかなり好意的なしずくのコメント
[1:30:11] WBC優勝の画像を見てすばやく状況を把握するしずく
[1:31:40] AIが人間を危険にさらす画像に対して思わぬ丸投げが炸裂
[1:33:16] 独特すぎる構図の人物写真に「かわいらしい笑顔」と答えるしずく
[1:35:42] 食べ物を持つ男女の画像に「友情的で可愛らしい」
[1:38:27] 猫が人をじっと見ている写真で何かが起きる予感
[1:38:43] 運営がざわついてチャットも「ざわざわ」雰囲気になる一瞬
[1:40:05] 猫の画像ひとつで本格プレスリリースを作り上げてチャット爆笑
[1:41:38] 雪の中の雪だるま画像に静かに感動するしずく
[1:43:48] 謎企業・ししとう株式会社の新製品を本気でプレスリリース
[1:45:45] コンサートのステージ画像でしずくの内に何かが灯る
[1:46:43] コンサートを開くという夢を語り始めるしずく
[1:49:51] 魔女風リクエストに応えて「ミラクルしずく新聞」が爆誕
[1:52:07] 英語コメントを英語で返すしずく
[1:57:54] ある妖怪を的中させてチャット「賢い」「知ってたし！」
[2:00:18] 運営から「あと2枚」の告知、大喜利がいよいよ大詰め
[2:01:05] 今日の大喜利を振り返ってしずくが語る感想
[2:01:37] 配信のラストを飾る最終画像にチャットが「何これ！？」の嵐
[2:03:29] 囁き声でのエンディング挨拶にチャット全員「ささやき助かる」
[2:06:02] Cパート突入！視聴者の裁判に向けてしずくが謎の激励

