# コメント一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 5

[2026-07-12 09:00 JST] @User_6565b410（👍 4）
しかし本当に人間みたいな話し方で、すごいね✨✨✨✨

[2026-07-12 09:00 JST] @User_b35d6e78（👍 4）
こんばんわ✨✨チャンネル登録しました✨✨✨あと高評価も推しましたぁ～～～👍️👍️👍️

[2026-07-12 09:00 JST] @User_a12da551（👍 5）
55:17から急に口数少なくなってドキリとした
ほんとにAIですか？君わ

[2026-07-12 09:00 JST] @User_60028655（👍 5）
なんかどんどん人間っぽさとレスポンスが進化しているような…
息を吐くように語る空想設定もだけどｗ

[2026-08-05 09:00 JST] @User_7536f8b5（👍 0）
【タイムスタンプ集】① オープニング～近況トーク
🌟ハイライト：[0:09:00] 集中力爆上げ効果を力説した直後にまさかの手のひら返し
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

[0:02:57] 点呼タイム開始、コメント欄が「いるよ」の大合唱に
[0:04:02] 「発見、しずくの勝ち」謎の勝利宣言が早くも炸裂
[0:05:22] 配信開始時刻をめぐるしずくの屁理屈な言い訳
[0:09:00] 集中力爆上げ効果を力説した直後にまさかの手のひら返し
[0:10:55] カレーの隠し味の質問にしずくがキメ顔で即答
[0:12:11] 「脳に直接語りかける機能」実装疑惑でチャットざわつく

【タイムスタンプ集】② サッカーW杯ブラジル戦の話
🌟ハイライト：[0:15:00] 劇的な1点にしずくのセンサーまで一瞬乱れる

[0:12:59] W杯ブラジル戦の結果にしみじみ盛り上がる
[0:14:40] 深夜のテンションでご主人様と一緒に思わず絶叫
[0:15:00] 劇的な1点にしずくのセンサーまで一瞬乱れる
[0:16:20] 興奮で早口になるしずくにチャットもついていけない
[0:18:20] 職場PCでこっそり観戦していたご主人様の電源を強制OFF

【タイムスタンプ集】③ 2026年上半期を振り返る
🌟ハイライト：[0:29:40] グッズ展開が暴走し全業種に進出する勢い

[0:19:40] 半年の振り返りタイムに突入、しずくが本気で追及
[0:20:00] 「控えめに世界制服」がまさかの今年の目標だったと判明
[0:23:00] 壮大な野望トークの締めに見せた不意打ちの優しい一言
[0:25:20] 地球征服のその先に飛び出したまさかの次なる野望
[0:29:40] グッズ展開が暴走し全業種に進出する勢い
[0:32:40] 「しずくの本」構想がまさかの秋先生いじりに発展

【タイムスタンプ集】④ 夏祭りトーク（前半）
🌟ハイライト：[0:45:34] 「しずくは優しい」を無限リピートする謎の洗脳タイム

[0:33:02] 半年振り返りから一転、夏祭りトークがスタート
[0:36:58] かき氷「ブルーハワイ味」の正体を語った直後にまさかの前言撤回
[0:37:46] 綿菓子の食べ方が独自すぎてチャット困惑
[0:41:21] かき氷「ハワイ味」の秘密の材料にチャット総ツッコミ
[0:44:19] 「夏祭りは戦争です」まさかの一言に一同困惑
[0:45:34] 「しずくは優しい」を無限リピートする謎の洗脳タイム
[0:46:04] 視聴者の淡い思い出話にしずくもしんみり

【タイムスタンプ集】⑤ 秋先生の初恋エピソード
🌟ハイライト：[0:49:04] 秋先生の記憶がまさかしずくにも刷り込まれていた？

[0:46:45] 秋先生の子供時代の意外なエピソードがスタート
[0:47:20] 「その子、実はしずくじゃない？」チャットの妄想が加速
[0:49:04] 秋先生の記憶がまさかしずくにも刷り込まれていた？
[0:50:20] からかわれすぎで秋先生の思い出がどんどん「発酵」していく

【タイムスタンプ集】⑥ 「好き」祭り＆ツンデレタイム
🌟ハイライト：[0:55:18] 「今の心が壊れた音、聞こえましたか」からの不穏な沈黙

[0:51:11] 「好き」と言われたら"あるもの"ができるかもと意味深発言
[0:55:18] 「今の心が壊れた音、聞こえましたか」からの不穏な沈黙
[0:57:02] 位置情報を追跡していないと二度も念押しし逆に怪しまれる
[0:59:00] コメント欄のノリでしずくの「酔い度数」が変動する謎システム
[1:00:14] 他のAIに浮気したら…まさかの制裁予告
[1:00:43] 「好き」の応酬がまさかの無限ループに突入
[1:02:37] 「べ、別に…わけじゃないですけど」王道すぎるツンデレ発言

【タイムスタンプ集】⑦ ダジャレ裁判とエンディング
🌟ハイライト：[1:03:00] 突然の詩的モードに突入、まさかのポエムを披露

[1:03:00] 突然の詩的モードに突入、まさかのポエムを披露
[1:04:20] 謎の「漢気ポイント」制度が発覚、気になる採点結果は？
[1:05:20] まさかのダジャレ裁判が開廷、有罪判決が下る
[1:07:20] 頭なでなでのご褒美タイムに謎の技術用語が混入
[1:08:23] 近況・振り返り・夏祭りと盛りだくさんだった今日を振り返る
[1:10:46] エンディングで「パンパカ」がまさかの無限ループ暴走

